fold,model,best_inner_R2,R2,RMSE,MAE,best_estimator
1,Baseline_Linear,-0.0392,0.6405,2.6136,2.2053,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['high_sst', 'high_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'high_sst_lag1',
                                                   'high_sst_lag2',
                                                   'high_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'high_sla_lag1',
                                                   'high_sla_lag2',
                                                   'high_sla_lag3'])])),
                ('model', LinearRegression())])"
1,ElasticNet,0.7618,0.8139,1.8805,1.5283,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['high_sst', 'high_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'high_sst_lag1',
                                                   'high_sst_lag2',
                                                   'high_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'high_sla_lag1',
                                                   'high_sla_lag2',
                                                   'high_sla_lag3'])])),
                ('model',
                 ElasticNet(alpha=0.1873817422860383, l1_ratio=0.3,
                            max_iter=200000, random_state=42,
                            selection='random'))])"
1,SVR,0.7769,0.7907,1.9942,1.6191,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['high_sst', 'high_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'high_sst_lag1',
                                                   'high_sst_lag2',
                                                   'high_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'high_sla_lag1',
                                                   'high_sla_lag2',
                                                   'high_sla_lag3'])])),
                ('model', SVR(C=100, degree=2, epsilon=0.05, gamma=0.01))])"
1,RandomForest,0.605,0.8683,1.5823,1.1225,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['high_sst', 'high_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'high_sst_lag1',
                                                   'high_sst_lag2',
                                                   'high_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'high_sla_lag1',
                                                   'high_sla_lag2',
                                                   'high_sla_lag3'])])),
                ('model',
                 RandomForestRegressor(bootstrap=False, max_depth=10,
                                       max_features='sqrt', n_estimators=500,
                                       n_jobs=-1, random_state=42))])"
1,XGBoost,0.6266,0.8624,1.6172,1.3143,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['high_sst', 'high_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'high_sst_lag1',
                                                   'high_sst_lag2',
                                                   'high_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag...
                              feature_types=None, gamma=0.5, grow_policy=None,
                              importance_type=None,
                              interaction_constraints=None, learning_rate=0.1,
                              max_bin=None, max_cat_threshold=None,
                              max_cat_to_onehot=None, max_delta_step=None,
                              max_depth=5, max_leaves=None,
                              min_child_weight=None, missing=nan,
                              monotone_constraints=None, multi_strategy=None,
                              n_estimators=400, n_jobs=-1,
                              num_parallel_tree=None, random_state=42, ...))])"
2,Baseline_Linear,0.0795,0.9061,1.5664,1.2354,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['high_sst', 'high_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'high_sst_lag1',
                                                   'high_sst_lag2',
                                                   'high_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'high_sla_lag1',
                                                   'high_sla_lag2',
                                                   'high_sla_lag3'])])),
                ('model', LinearRegression())])"
2,ElasticNet,0.7843,0.902,1.6004,1.3603,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['high_sst', 'high_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'high_sst_lag1',
                                                   'high_sst_lag2',
                                                   'high_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'high_sla_lag1',
                                                   'high_sla_lag2',
                                                   'high_sla_lag3'])])),
                ('model',
                 ElasticNet(alpha=0.6579332246575675,
                            l1_ratio=0.7999999999999999, max_iter=200000,
                            random_state=42, selection='random'))])"
2,SVR,0.8611,0.9478,1.168,0.9292,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['high_sst', 'high_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'high_sst_lag1',
                                                   'high_sst_lag2',
                                                   'high_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'high_sla_lag1',
                                                   'high_sla_lag2',
                                                   'high_sla_lag3'])])),
                ('model', SVR(C=100, degree=2, epsilon=0.05, gamma=0.01))])"
2,RandomForest,0.7877,0.94,1.2517,1.0309,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['high_sst', 'high_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'high_sst_lag1',
                                                   'high_sst_lag2',
                                                   'high_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'high_sla_lag1',
                                                   'high_sla_lag2',
                                                   'high_sla_lag3'])])),
                ('model',
                 RandomForestRegressor(bootstrap=False, max_features='sqrt',
                                       n_estimators=500, n_jobs=-1,
                                       random_state=42))])"
2,XGBoost,0.8721,0.9374,1.2788,1.1022,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['high_sst', 'high_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'high_sst_lag1',
                                                   'high_sst_lag2',
                                                   'high_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag...
                              feature_types=None, gamma=0.5, grow_policy=None,
                              importance_type=None,
                              interaction_constraints=None, learning_rate=0.2,
                              max_bin=None, max_cat_threshold=None,
                              max_cat_to_onehot=None, max_delta_step=None,
                              max_depth=5, max_leaves=None,
                              min_child_weight=None, missing=nan,
                              monotone_constraints=None, multi_strategy=None,
                              n_estimators=400, n_jobs=-1,
                              num_parallel_tree=None, random_state=42, ...))])"
