fold,model,best_inner_R2,R2,RMSE,MAE,best_estimator
1,Baseline_Linear,-32.5854,-6.4378,0.4766,0.3546,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model', LinearRegression())])"
1,ElasticNet,-1.9216,-0.9164,0.2419,0.197,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model',
                 ElasticNet(alpha=0.1873817422860383,
                            l1_ratio=0.7999999999999999, max_iter=200000,
                            random_state=42, selection='random'))])"
1,SVR,-1.6431,-0.4949,0.2137,0.1734,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model', SVR(C=0.1, degree=2, epsilon=0.2, gamma=0.01))])"
1,RandomForest,-2.3173,-0.1824,0.19,0.1478,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model',
                 RandomForestRegressor(max_depth=10, max_features='log2',
                                       min_samples_split=10, n_estimators=500,
                                       n_jobs=-1, random_state=42))])"
1,XGBoost,-1.9762,-0.8875,0.2401,0.1957,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3...
                              feature_types=None, gamma=0.5, grow_policy=None,
                              importance_type=None,
                              interaction_constraints=None, learning_rate=0.2,
                              max_bin=None, max_cat_threshold=None,
                              max_cat_to_onehot=None, max_delta_step=None,
                              max_depth=3, max_leaves=None,
                              min_child_weight=None, missing=nan,
                              monotone_constraints=None, multi_strategy=None,
                              n_estimators=800, n_jobs=-1,
                              num_parallel_tree=None, random_state=42, ...))])"
2,Baseline_Linear,-4.9156,-2.989,0.2452,0.2103,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model', LinearRegression())])"
2,ElasticNet,-0.2865,-0.1207,0.13,0.0994,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model',
                 ElasticNet(alpha=0.1873817422860383, l1_ratio=0.95,
                            max_iter=200000, random_state=42,
                            selection='random'))])"
2,SVR,0.02,-0.4679,0.1487,0.1131,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model', SVR(C=1, degree=2, epsilon=0.05))])"
2,RandomForest,0.0609,-0.6234,0.1564,0.129,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model',
                 RandomForestRegressor(max_depth=6, max_features=None,
                                       min_samples_split=10, n_estimators=800,
                                       n_jobs=-1, random_state=42))])"
2,XGBoost,0.0242,-0.8694,0.1678,0.1341,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3...
                              feature_types=None, gamma=0, grow_policy=None,
                              importance_type=None,
                              interaction_constraints=None, learning_rate=0.2,
                              max_bin=None, max_cat_threshold=None,
                              max_cat_to_onehot=None, max_delta_step=None,
                              max_depth=3, max_leaves=None,
                              min_child_weight=None, missing=nan,
                              monotone_constraints=None, multi_strategy=None,
                              n_estimators=400, n_jobs=-1,
                              num_parallel_tree=None, random_state=42, ...))])"
3,Baseline_Linear,-5.4613,-1.8097,0.2673,0.1996,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model', LinearRegression())])"
3,ElasticNet,-0.3668,-0.149,0.1709,0.134,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model',
                 ElasticNet(alpha=0.05336699231206307, l1_ratio=0.95,
                            max_iter=200000, random_state=42,
                            selection='random'))])"
3,SVR,-0.2236,-0.1332,0.1698,0.1376,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model', SVR(C=1, degree=2, epsilon=0.2))])"
3,RandomForest,-0.2211,0.2923,0.1341,0.1065,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model',
                 RandomForestRegressor(max_depth=6, max_features='sqrt',
                                       min_samples_split=5, n_estimators=800,
                                       n_jobs=-1, random_state=42))])"
3,XGBoost,-0.0733,0.3053,0.1329,0.1163,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3...
                              feature_types=None, gamma=0, grow_policy=None,
                              importance_type=None,
                              interaction_constraints=None, learning_rate=0.2,
                              max_bin=None, max_cat_threshold=None,
                              max_cat_to_onehot=None, max_delta_step=None,
                              max_depth=5, max_leaves=None,
                              min_child_weight=None, missing=nan,
                              monotone_constraints=None, multi_strategy=None,
                              n_estimators=400, n_jobs=-1,
                              num_parallel_tree=None, random_state=42, ...))])"
4,Baseline_Linear,-6.1979,-0.9951,0.1975,0.1411,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model', LinearRegression())])"
4,ElasticNet,-0.1887,0.0418,0.1369,0.1158,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model',
                 ElasticNet(alpha=0.1873817422860383, l1_ratio=0.25,
                            max_iter=200000, random_state=42,
                            selection='random'))])"
4,SVR,-0.1269,-0.1562,0.1504,0.1192,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model', SVR(C=1, degree=2, epsilon=0.2))])"
4,RandomForest,0.1603,-0.1058,0.1471,0.1101,"Pipeline(steps=[('prep',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('yeo',
                                                                   PowerTransformer(standardize=False)),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['med_sst', 'med_sla',
                                                   'month_sin', 'month_cos',
                                                   'curr_mag', 'wind_mag',
                                                   'EPR', 'med_sst_lag1',
                                                   'med_sst_lag2',
                                                   'med_sst_lag3', 'EPR_lag1',
                                                   'EPR_lag2', 'EPR_lag3',
                                                   'curr_mag_lag1',
                                                   'curr_mag_lag2',
                                                   'curr_mag_lag3',
                                                   'wind_mag_lag1',
                                                   'wind_mag_lag2',
                                                   'wind_mag_lag3',
                                                   'med_sla_lag1',
                                                   'med_sla_lag2',
                                                   'med_sla_lag3'])])),
                ('model',
                 RandomForestRegressor(bootstrap=False, max_depth=10,
                                       max_features='sqrt', min_samples_split=5,
                                       n_estimators=800, n_jobs=-1,
                                       random_state=42))])"
